"gps_geohash_08","gps_ghash_lon","gps_ghash_lat","mean_dbm","events"
"ezjqh13x","-3.6891747","40.437843","-79.13723404255319","940"
"ezjq5fjn","-3.6953545","40.441788","-74.32688172043011","938"
"ezjqh156","-3.6867714","40.435608","-79.63010752688172","934"
"ezjqh147","-3.6881447","40.435783","-84.35205183585313","930"
"ezjq5cwz","-3.6929512","40.439217","-94.6199782844734","924"
"ezjq5ckm","-3.6963844","40.4375","-83.21069868995633","920"
"ezjq5cur","-3.6963844","40.44059","-93.68804347826087","920"
"ezjqh19h","-3.6898613","40.438698","-93.31991294885745","919"
"ezjq5fpe","-3.6919212","40.441277","-79.71663019693655","914"
"ezjqh135","-3.6898613","40.437157","-73.20723684210526","913"
"ezjqh1bh","-3.6912346","40.44007","-80.60087719298245","912"
"ezjq5fp7","-3.6922646","40.441277","-77.42384105960265","910"
"ezjqh18n","-3.6912346","40.43904","-82.32333333333334","906"
"ezjqh0f1","-3.688488","40.434067","-85.18563535911602","905"
"ezjqh18e","-3.690548","40.43853","-78.99443207126949","904"
"ezjqh11m","-3.689518","40.436127","-82.26135105204872","903"
"ezjq5ch4","-3.6967278","40.435608","-98.02237136465324","898"
"ezjq5czv","-3.691578","40.440247","-86.38324022346369","896"
"ezjqh1e9","-3.686428","40.438187","-97.07847533632287","895"
"ezjq5cwu","-3.6929512","40.438698","-92.90249433106575","892"
"ezjq5cs7","-3.6963844","40.43853","-80.53984287317621","891"
"ezjq5ckc","-3.6956978","40.436813","-106.77916194790487","890"
"ezjq5cpd","-3.6919212","40.435608","-86.64937993235625","888"
"ezjq5cup","-3.6967278","40.44059","-95.10419026047565","884"
"ezjq5bz9","-3.6919212","40.434067","-91.75681818181818","880"
"ezjqh0bx","-3.690548","40.435097","-84.55074116305587","878"
"ezjqh11t","-3.6891747","40.436127","-82.66895761741122","877"
"ezjqh0fn","-3.688488","40.43492","-84.57731958762886","875"
"ezjqh0b7","-3.6908913","40.43441","-95.53828571428572","875"
"ezjq5cvy","-3.6943245","40.440414","-79.98735632183909","870"
"ezjq5cp2","-3.6922646","40.435265","-97.52107728337236","868"
"ezjqh18j","-3.6912346","40.438873","-82.77404403244496","867"
"ezjq5cxy","-3.691578","40.43904","-87.09918319719954","866"
"ezjq5cw8","-3.6932945","40.43801","-86.80092592592592","865"
"ezjqh113","-3.689518","40.43544","-90.59953703703704","865"
"ezjq5fng","-3.6929512","40.441277","-77.8539976825029","863"
"ezjq5cn8","-3.6932945","40.435265","-87.61899179366941","857"
"ezjq5cgw","-3.6974144","40.440414","-93.46830985915493","853"
"ezjq5f58","-3.6974144","40.440758","-94.27810650887574","845"
"ezjq5cvc","-3.6943245","40.43956","-102.88862559241706","844"
"ezjqh11u","-3.6888313","40.43595","-85.50360576923077","841"
"ezjqh0gt","-3.686428","40.434753","-81.60786650774732","840"
"ezjq5cnb","-3.6929512","40.435265","-92.50179640718562","839"
"ezjqh18r","-3.6908913","40.439217","-77.3485576923077","833"
"ezjqh0bn","-3.6912346","40.43492","-80.2418772563177","831"
"ezjq5buw","-3.696041","40.43492","-81.88861985472155","829"
"ezjq5by8","-3.6932945","40.43389","-97.1369696969697","828"
"ezjq5cxq","-3.6922646","40.43904","-107.53204353083434","827"
"ezjq5cp0","-3.6926079","40.435265","-96.56288156288156","823"
"ezjqh0f4","-3.688488","40.434235","-83.93195625759417","823"
"ezjqh17y","-3.6860847","40.437668","-83.60317460317461","821"
"ezjq5ck0","-3.6967278","40.436638","-100.76492082825823","821"
"ezjq5cnf","-3.6929512","40.435608","-98.61463414634146","820"
"ezjq5cmw","-3.6946678","40.437668","-99.29325153374234","820"
"ezjq5cwg","-3.6929512","40.43853","-91.7904411764706","819"
"ezjqh0cx","-3.6891747","40.435097","-92.27060270602706","815"
"ezjq5c7b","-3.697071","40.436638","-104.12700369913686","814"
"ezjqh0fj","-3.688488","40.434753","-86.53217821782178","808"
"ezjq5cvb","-3.6943245","40.439384","-96.79849812265331","803"
"ezjqh0cy","-3.6888313","40.43492","-81.1685393258427","801"
"ezjq5cjt","-3.6946678","40.436127","-84.31163954943679","801"
"ezjqh1ce","-3.6891747","40.439903","-105.63454317897371","800"
"ezjq5ct2","-3.6950111","40.43801","-97.43304130162703","799"
"ezjqh170","-3.6871147","40.436638","-85.04086845466156","785"
"ezjq5fhs","-3.696041","40.441444","-99.05025773195877","781"
"ezjq5cu8","-3.696041","40.439384","-89.36760925449872","780"
"ezjq5cqy","-3.6929512","40.437668","-100.28112965340179","779"
"ezjqh08p","-3.6912346","40.433723","-77.72586872586872","778"
"ezjq5fnu","-3.6929512","40.441444","-79.13454075032341","777"
"ezjqh18c","-3.6902046","40.438187","-77.31694695989651","776"
"ezjqh10p","-3.6912346","40.43647","-81.13824289405684","774"
"ezjqh105","-3.6912346","40.435783","-81.04296875","768"
"ezjq5cm2","-3.6950111","40.436638","-98.58530183727034","767"
"ezjqh195","-3.6898613","40.43853","-93.5626631853786","766"
"ezjq5cvu","-3.6943245","40.44007","-95.86814621409921","766"
"ezjq5fp4","-3.6926079","40.4411","-76.56413612565446","765"
"ezjqh14e","-3.6878014","40.435783","-80.76943346508564","759"
"ezjqh1bj","-3.6912346","40.440247","-81.65918097754293","759"
"ezjq5fp8","-3.6919212","40.440758","-82.21087533156499","759"
"ezjq5ckr","-3.6963844","40.437843","-84.4840848806366","755"
